Name,Address,IndustryInfo,Neighborhood,좌표
헤어제이,"이용,미용",경기 성남시 분당구 미금일로 55,하얀마을제 상가,"(37.3462327, 127.1143873)"
리가헤어샵,"이용,미용",경기 성남시 분당구 불정로376번길 37,202호,"(37.372353, 127.1381386)"
에프앤코스,화장품,경기 성남시 분당구 돌마로 80,814호,"(37.34967775, 127.11041683472561)"
리 헤어샵,"이용,미용",경기 성남시 분당구 중앙공원로 54,1층 233-101,"(37.382904, 127.1322702)"
유스포뮬러네일아트,화장품,경기 성남시 분당구 정자일로 121,H-12,"(37.3603053, 127.10508758027783)"
노블레스 뷰티,화장품,경기 성남시 분당구 황새울로214번길 8,305,"(37.3788017, 127.1139112)"
클래식댄스스포츠,체형관리,경기 성남시 분당구 대왕판교로 221,301호,"(37.3503358, 127.1018029)"
문헤어,"이용,미용",경기 성남시 분당구 불정로 380,205,"(37.37397475, 127.1368697998443)"
황진이머리방,"이용,미용",경기 성남시 분당구 장미로 189,매화마을근린상가 205,"(37.4134109, 127.1331151)"
황후,화장품,경기 성남시 분당구 정자일로 27,코오롱더프라우 101 102,"(37.3507854, 127.1063437)"
닙비오레코스메틱,화장품,경기 성남시 분당구 황새울로200번길 28,9층 901호,"(37.37679535, 127.11340164560244)"
라벨르디자인,화장품,경기 성남시 분당구 성남대로 393,B동 319호,"(37.3724397, 127.1081833)"
코코네일,화장품,경기 성남시 분당구 성남대로925번길 16,테마폴리스내지 2층 913,"(37.41293935, 127.12725301422529)"
